date,quarter,year,apple,microsoft,ibm
2007-08-23,2007-3,2007,18.724285,28.299999,111.449997
2007-08-24,2007-3,2007,19.328571,28.809999,113.239998
2007-08-27,2007-3,2007,18.892857,28.49,113.440002
2007-08-28,2007-3,2007,18.117144,27.93,112
2007-08-29,2007-3,2007,19.154285,28.59,114.57
2007-08-30,2007-3,2007,19.464285,28.450001,115.370003
2007-08-31,2007-3,2007,19.782858,28.73,116.690002
2007-09-04,2007-3,2007,20.594286,28.809999,118.190002
2007-09-05,2007-3,2007,19.537144,28.48,117.879997
2007-09-06,2007-3,2007,19.287144,28.91,117.620003
2007-09-07,2007-3,2007,18.824286,28.440001,115.550003
2007-09-10,2007-3,2007,19.530001,28.48,115.800003
2007-09-11,2007-3,2007,19.355715,28.93,117.349998
2007-09-12,2007-3,2007,19.549999,28.93,116
2007-09-13,2007-3,2007,19.6,29.16,115.949997
2007-09-14,2007-3,2007,19.83,29.040001,115.129997
2007-09-17,2007-3,2007,19.772858,28.73,114.519997
2007-09-18,2007-3,2007,20.131428,28.93,116.629997
2007-09-19,2007-3,2007,20.110001,28.67,116.669998
2007-09-20,2007-3,2007,20.044285,28.42,116.860001
2007-09-21,2007-3,2007,20.592857,28.65,116.779999
2007-09-24,2007-3,2007,21.182858,29.08,116.25
2007-09-25,2007-3,2007,21.882856,29.559999,116.510002
2007-09-26,2007-3,2007,21.824286,29.5,117.300003
2007-09-27,2007-3,2007,22.071428,29.49,117.709999
2007-09-28,2007-3,2007,21.924286,29.459999,117.800003
2007-10-01,2007-4,2007,22.334286,29.77,119.029999
2007-10-02,2007-4,2007,22.635714,29.700001,118.360001
2007-10-03,2007-4,2007,22.559999,29.450001,116.400002
2007-10-04,2007-4,2007,22.32,29.709999,115.690002
2007-10-05,2007-4,2007,23.064285,29.84,116.300003
2007-10-08,2007-4,2007,23.987143,29.84,117.769997
2007-10-09,2007-4,2007,23.98,30.1,118.300003
2007-10-10,2007-4,2007,23.827143,30.23,118.620003
2007-10-11,2007-4,2007,23.175714,29.91,118.050003
2007-10-12,2007-4,2007,23.892857,30.17,117.809998
2007-10-15,2007-4,2007,23.854286,30.040001,118.029999
2007-10-16,2007-4,2007,24.225714,30.32,119.599998
2007-10-17,2007-4,2007,24.678572,31.08,115.779999
2007-10-18,2007-4,2007,24.785715,31.16,114.800003
2007-10-19,2007-4,2007,24.345715,30.17,112.279999
2007-10-22,2007-4,2007,24.908571,30.51,113.370003
2007-10-23,2007-4,2007,26.594286,30.9,114.68
2007-10-24,2007-4,2007,26.561428,31.25,112.949997
2007-10-25,2007-4,2007,26.111429,31.99,112.809998
2007-10-26,2007-4,2007,26.385714,35.029999,113.730003
2007-10-29,2007-4,2007,26.441429,34.57,114.800003
2007-10-30,2007-4,2007,26.714285,35.57,114.120003
2007-10-31,2007-4,2007,27.135714,36.810001,116.120003
2007-11-01,2007-4,2007,26.777143,37.060001,113.650002
2007-11-02,2007-4,2007,26.838572,37.060001,114.589996
2007-11-05,2007-4,2007,26.597143,36.73,113.400002
2007-11-06,2007-4,2007,27.398571,36.41,113.169998
2007-11-07,2007-4,2007,26.614286,35.52,111.080002
2007-11-08,2007-4,2007,25.067142,34.740002,106.110001
2007-11-09,2007-4,2007,23.624287,33.73,100.25
2007-11-12,2007-4,2007,21.965714,33.380001,101.449997
2007-11-13,2007-4,2007,24.280001,34.459999,105.269997
2007-11-14,2007-4,2007,23.73,33.93,103.440002
2007-11-15,2007-4,2007,23.471428,33.759998,103.599998
2007-11-16,2007-4,2007,23.77,34.09,104.790001
2007-11-19,2007-4,2007,23.421429,33.959999,102.220001
2007-11-20,2007-4,2007,24.121429,34.580002,103.419998
2007-11-21,2007-4,2007,24.065714,34.23,102.220001
2007-11-23,2007-4,2007,24.505714,34.110001,104.050003
2007-11-26,2007-4,2007,24.648571,32.970001,101.970001
2007-11-27,2007-4,2007,24.972857,33.060001,103.830002
2007-11-28,2007-4,2007,25.745714,33.700001,107.370003
2007-11-29,2007-4,2007,26.327143,33.59,107.5
2007-11-30,2007-4,2007,26.031429,33.599998,105.18
2007-12-03,2007-4,2007,25.551428,32.919998,105.830002
2007-12-04,2007-4,2007,25.687143,32.77,106.629997
2007-12-05,2007-4,2007,26.5,34.150002,108.160004
2007-12-06,2007-4,2007,27.135714,34.549999,109.699997
2007-12-07,2007-4,2007,27.757143,34.529999,108.860001
2007-12-10,2007-4,2007,27.744286,34.759998,109.389999
2007-12-11,2007-4,2007,26.934286,34.099998,106.989998
2007-12-12,2007-4,2007,27.265715,34.470001,108.470001
2007-12-13,2007-4,2007,27.404285,35.220001,108.18
2007-12-14,2007-4,2007,27.198572,35.310001,105.769997
2007-12-17,2007-4,2007,26.342857,34.389999,104.529999
2007-12-18,2007-4,2007,26.139999,34.740002,106.309998
2007-12-19,2007-4,2007,26.16,34.790001,107.139999
2007-12-20,2007-4,2007,26.744286,35.52,108.839996
2007-12-21,2007-4,2007,27.701429,36.060001,111.050003
2007-12-24,2007-4,2007,28.4,36.580002,111.650002
2007-12-26,2007-4,2007,28.421429,36.610001,111.559998
2007-12-27,2007-4,2007,28.367144,35.970001,109.599998
2007-12-28,2007-4,2007,28.547142,36.119999,110.089996
2007-12-31,2007-4,2007,28.297142,35.599998,108.099998
2008-01-02,2008-1,2008,27.834286,35.220001,104.690002
2008-01-03,2008-1,2008,27.847143,35.369999,104.900002
2008-01-04,2008-1,2008,25.721428,34.380001,101.129997
2008-01-07,2008-1,2008,25.377142,34.610001,100.050003
2008-01-08,2008-1,2008,24.464285,33.450001,97.589996
2008-01-09,2008-1,2008,25.628571,34.439999,98.309998
2008-01-10,2008-1,2008,25.431429,34.330002,99.919998
2008-01-11,2008-1,2008,24.67,33.91,97.669998
2008-01-14,2008-1,2008,25.540001,34.389999,102.93
2008-01-15,2008-1,2008,24.148571,34,101.830002
2008-01-16,2008-1,2008,22.805714,33.23,101.629997
2008-01-17,2008-1,2008,22.984285,33.110001,101.099998
2008-01-18,2008-1,2008,23.051428,33.009998,103.400002
2008-01-22,2008-1,2008,22.234285,31.959999,101.220001
2008-01-23,2008-1,2008,19.867144,31.93,106.099998
2008-01-24,2008-1,2008,19.371429,33.25,106.910004
2008-01-25,2008-1,2008,18.572857,32.939999,104.519997
2008-01-28,2008-1,2008,18.572857,32.720001,104.980003
2008-01-29,2008-1,2008,18.79143,32.599998,106.099998
2008-01-30,2008-1,2008,18.882856,32.200001,105.650002
2008-01-31,2008-1,2008,19.337143,32.599998,107.110001
2008-02-01,2008-1,2008,19.107143,30.450001,109.080002
2008-02-04,2008-1,2008,18.807142,30.190001,107.93
2008-02-05,2008-1,2008,18.48,29.07,105.019997
